"","category_name","date","sale_liters"
"363","TEQUILA","2015-03-02T00:00:00.000","1.5"
"364","TEQUILA","2015-03-02T00:00:00.000","1.5"
"365","TEQUILA","2015-03-02T00:00:00.000","0.8"
"366","TEQUILA","2015-03-02T00:00:00.000","1.5"
"367","TEQUILA","2015-03-02T00:00:00.000","9"
"368","TEQUILA","2015-03-02T00:00:00.000","0.75"
"369","TEQUILA","2015-03-02T00:00:00.000","2.25"
"370","TEQUILA","2015-03-02T00:00:00.000","9"
"371","TEQUILA","2015-03-02T00:00:00.000","4.5"
"372","TEQUILA","2015-03-02T00:00:00.000","4.5"
"373","TEQUILA","2015-03-02T00:00:00.000","4.5"
"374","TEQUILA","2015-03-02T00:00:00.000","9"
"375","TEQUILA","2015-03-02T00:00:00.000","12"
"376","TEQUILA","2015-03-02T00:00:00.000","9"
"377","TEQUILA","2015-03-02T00:00:00.000","9"
"378","TEQUILA","2015-03-02T00:00:00.000","1.5"
"379","TEQUILA","2015-03-02T00:00:00.000","1"
"380","TEQUILA","2015-03-02T00:00:00.000","36"
"381","TEQUILA","2015-03-02T00:00:00.000","48"
"382","TEQUILA","2015-03-02T00:00:00.000","10.5"
"383","TEQUILA","2015-03-02T00:00:00.000","12"
"384","TEQUILA","2015-03-02T00:00:00.000","6"
"385","TEQUILA","2015-03-02T00:00:00.000","1.5"
"386","TEQUILA","2015-03-02T00:00:00.000","1.5"
"387","TEQUILA","2015-03-02T00:00:00.000","0.75"
"388","TEQUILA","2015-03-02T00:00:00.000","0.75"
"389","TEQUILA","2015-03-02T00:00:00.000","2"
"390","TEQUILA","2015-03-02T00:00:00.000","0.375"
"391","TEQUILA","2015-03-02T00:00:00.000","0.375"
"392","TEQUILA","2015-03-02T00:00:00.000","12"
"393","TEQUILA","2015-03-02T00:00:00.000","9"
"394","TEQUILA","2015-03-02T00:00:00.000","12"
"395","TEQUILA","2015-03-02T00:00:00.000","45"
"396","TEQUILA","2015-03-02T00:00:00.000","18"
"397","TEQUILA","2015-03-02T00:00:00.000","24"
"398","TEQUILA","2015-03-02T00:00:00.000","4.5"
"399","TEQUILA","2015-03-02T00:00:00.000","60"
"400","TEQUILA","2015-03-02T00:00:00.000","10.5"
"401","TEQUILA","2015-03-02T00:00:00.000","9"
"402","TEQUILA","2015-03-02T00:00:00.000","24"
"403","TEQUILA","2015-03-02T00:00:00.000","60"
"404","TEQUILA","2015-03-02T00:00:00.000","1.875"
"405","TEQUILA","2015-03-02T00:00:00.000","12"
"406","TEQUILA","2015-03-02T00:00:00.000","4.5"
"407","TEQUILA","2015-03-02T00:00:00.000","1.5"
"408","TEQUILA","2015-03-02T00:00:00.000","9"
"409","TEQUILA","2015-03-02T00:00:00.000","4.5"
"410","TEQUILA","2015-03-02T00:00:00.000","4.5"
"411","TEQUILA","2015-03-02T00:00:00.000","10.5"
"412","TEQUILA","2015-03-02T00:00:00.000","0.4"
"413","TEQUILA","2015-03-02T00:00:00.000","1.125"
"414","TEQUILA","2015-03-02T00:00:00.000","1.5"
"415","TEQUILA","2015-03-02T00:00:00.000","1.5"
"416","TEQUILA","2015-03-02T00:00:00.000","1.5"
"417","TEQUILA","2015-03-02T00:00:00.000","1.5"
"418","TEQUILA","2015-03-02T00:00:00.000","0.75"
"419","TEQUILA","2015-03-02T00:00:00.000","4.5"
"420","TEQUILA","2015-03-02T00:00:00.000","3"
"421","TEQUILA","2015-03-02T00:00:00.000","3"
"422","TEQUILA","2015-03-02T00:00:00.000","3"
"423","TEQUILA","2015-03-02T00:00:00.000","9"
"424","TEQUILA","2015-03-02T00:00:00.000","9"
"425","TEQUILA","2015-03-02T00:00:00.000","0.75"
"426","TEQUILA","2015-03-02T00:00:00.000","9"
"427","TEQUILA","2015-03-02T00:00:00.000","9"
"428","TEQUILA","2015-03-02T00:00:00.000","2.25"
"429","TEQUILA","2015-03-02T00:00:00.000","3"
"430","TEQUILA","2015-03-02T00:00:00.000","3"
"431","TEQUILA","2015-03-02T00:00:00.000","1.5"
"432","TEQUILA","2015-03-02T00:00:00.000","0.5"
"433","TEQUILA","2015-03-02T00:00:00.000","0.8"
"434","TEQUILA","2015-03-02T00:00:00.000","0.75"
"435","TEQUILA","2015-03-02T00:00:00.000","0.75"
"436","TEQUILA","2015-03-02T00:00:00.000","0.375"
"437","TEQUILA","2015-03-02T00:00:00.000","1.5"
"438","TEQUILA","2015-03-02T00:00:00.000","0.3"
"439","TEQUILA","2015-03-02T00:00:00.000","12"
"440","TEQUILA","2015-03-02T00:00:00.000","2.4"
"441","TEQUILA","2015-03-02T00:00:00.000","2.25"
"442","TEQUILA","2015-03-02T00:00:00.000","1.125"
"443","TEQUILA","2015-03-02T00:00:00.000","1"
"444","TEQUILA","2015-03-02T00:00:00.000","0.75"
"445","TEQUILA","2015-03-02T00:00:00.000","0.75"
"446","TEQUILA","2015-03-02T00:00:00.000","0.375"
"447","TEQUILA","2015-03-02T00:00:00.000","1.5"
"448","TEQUILA","2015-03-02T00:00:00.000","9"
"449","TEQUILA","2015-03-02T00:00:00.000","1.75"
"450","TEQUILA","2015-03-02T00:00:00.000","10.5"
"451","TEQUILA","2015-03-02T00:00:00.000","12"
"452","TEQUILA","2015-03-02T00:00:00.000","6"
"453","TEQUILA","2015-03-02T00:00:00.000","1.5"
"454","TEQUILA","2015-03-02T00:00:00.000","1.5"
"455","TEQUILA","2015-03-02T00:00:00.000","4.5"
"456","TEQUILA","2015-03-02T00:00:00.000","24"
"457","TEQUILA","2015-03-02T00:00:00.000","24"
"458","TEQUILA","2015-03-02T00:00:00.000","27"
"459","TEQUILA","2015-03-02T00:00:00.000","1.5"
"460","TEQUILA","2015-03-02T00:00:00.000","9"
"461","TEQUILA","2015-03-02T00:00:00.000","0.375"
"462","TEQUILA","2015-03-02T00:00:00.000","1.125"
"463","TEQUILA","2015-03-02T00:00:00.000","1"
"464","TEQUILA","2015-03-02T00:00:00.000","2.25"
"465","TEQUILA","2015-03-02T00:00:00.000","2.25"
"466","TEQUILA","2015-03-02T00:00:00.000","1.5"
"467","TEQUILA","2015-03-02T00:00:00.000","3"
"468","TEQUILA","2015-03-02T00:00:00.000","10.5"
"469","TEQUILA","2015-03-02T00:00:00.000","9"
"470","TEQUILA","2015-03-02T00:00:00.000","4.5"
"471","TEQUILA","2015-03-02T00:00:00.000","1.125"
"472","TEQUILA","2015-03-02T00:00:00.000","0.6"
